=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/27/2021 3:22:20 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,8.18,n/a,n/a,n/a
0.) d. Switch to right pointer,2.58,n/a,n/a,n/a
0.) 3. Pick Up Cube,15.7,n/a,n/a,n/a
0.) 4. Deliver Cube,6.37,n/a,n/a,n/a
0.) 5. Locate Targets,7.51,n/a,n/a,n/a
0.) 6. Microphone Test,5.43,n/a,n/a,n/a
0.) 7. Sample Question(Lastly/ let's have you answer some sample questions to get used to the Info Board. Which of the following are US states?),2.84,True,Ohio;California;Wyoming;,1
0.) 8. Pick Up Clipboard,4.1,n/a,n/a,n/a
0.) a. Open Clipboard,2.75,n/a,n/a,n/a
0.) b. Switch clipboard hand,3.25,n/a,n/a,n/a
0.) c. Switch clipboard hand again,3.79,n/a,n/a,n/a
0.) d. Close Clipboard,2.93,n/a,n/a,n/a
0.) a. Click to Start,4.14,n/a,n/a,n/a
4.) 3. Review HCP Orders,0.8,n/a,n/a,n/a
